optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,16,2,7.226072795685212e-10,1.0,1.564591407775879,33
L-BFGS-B,1,2,5.090081134362379e-12,1.0,0.18413591384887695,34
L-BFGS-B,2,2,1.0481199241851868e-12,1.0,0.1706228256225586,34
L-BFGS-B,4,2,2.0210427359446115e-09,1.0,0.25866103172302246,34
L-BFGS-B,8,2,9.003376238991834e-09,1.0,0.5058422088623047,34
L-BFGS-B,16,2,2.061827186761178e-08,1.0,1.7872414588928223,34
L-BFGS-B,1,2,0.05995685174899858,0.93359375,0.1911296844482422,35
L-BFGS-B,2,2,2.157019007853478e-11,1.0,0.5738873481750488,35
L-BFGS-B,4,2,2.2258150877974003e-09,1.0,0.3922884464263916,35
L-BFGS-B,8,2,5.313119388894449e-10,1.0,0.8170616626739502,35
L-BFGS-B,16,2,5.17471618333154e-09,1.0,1.2453539371490479,35
L-BFGS-B,1,2,4.2049697057677804e-13,1.0,0.1981339454650879,36
L-BFGS-B,2,2,7.349817976454176e-11,1.0,0.17562270164489746,36
L-BFGS-B,4,2,5.943856518086932e-13,1.0,0.41431427001953125,36
L-BFGS-B,8,2,5.997002117119621e-09,1.0,0.6864490509033203,36
L-BFGS-B,16,2,3.3487101980256284e-13,1.0,4.261904716491699,36
L-BFGS-B,1,2,0.059956851738660416,0.9423828125,0.1551048755645752,37
L-BFGS-B,2,2,1.2438939461789644e-10,1.0,0.5378961563110352,37
L-BFGS-B,4,2,2.226974028796125e-09,1.0,0.30719876289367676,37
L-BFGS-B,8,2,4.027337532908071e-09,1.0,0.6849660873413086,37
L-BFGS-B,16,2,1.0617221685160771e-10,1.0,2.510237455368042,37
L-BFGS-B,1,2,1.939004512507836e-13,1.0,0.19712591171264648,38
L-BFGS-B,2,2,3.7876646263868e-12,1.0,0.1841275691986084,38
L-BFGS-B,4,2,3.4310077695609564e-09,1.0,0.29169225692749023,38
L-BFGS-B,8,2,2.269906484997364e-12,1.0,1.1347956657409668,38
L-BFGS-B,16,2,1.4610548160209902e-08,1.0,2.629779815673828,38
L-BFGS-B,1,2,1.3297279943813578e-12,1.0,0.18411827087402344,39
L-BFGS-B,2,2,2.3185620090515613e-13,1.0,0.13008666038513184,39
L-BFGS-B,4,2,6.800116025829084e-16,1.0,0.36925792694091797,39
